,date,open,high,low,Close
13504,1621312200000.0,0.66223,0.66631,0.66171,0.6659
13505,1621312500000.0,0.66578,0.67,0.66407,0.66627
13506,1621312800000.0,0.666,0.66987,0.66526,0.66773
13507,1621313100000.0,0.66842,0.67011,0.66678,0.66681
13508,1621313400000.0,0.66678,0.6686,0.66606,0.66782
13509,1621313700000.0,0.66775,0.66949,0.6671,0.66856
13510,1621314000000.0,0.66866,0.66872,0.66441,0.66847
13511,1621314300000.0,0.66863,0.67351,0.66738,0.67323
13512,1621314600000.0,0.6729,0.68051,0.6727,0.67436
13513,1621314900000.0,0.67437,0.67495,0.67069,0.67124
13514,1621315200000.0,0.67114,0.67182,0.66922,0.6694
13515,1621315500000.0,0.6694,0.67103,0.667,0.66999
13516,1621315800000.0,0.67012,0.67118,0.66574,0.66754
13517,1621316100000.0,0.66746,0.66964,0.66704,0.66964
13518,1621316400000.0,0.66965,0.6711,0.66825,0.6692
13519,1621316700000.0,0.66924,0.67219,0.6683,0.66867
13520,1621317000000.0,0.66877,0.66944,0.66577,0.66624
13521,1621317300000.0,0.66621,0.66874,0.66595,0.66754
13522,1621317600000.0,0.66759,0.66876,0.6662,0.66837
13523,1621317900000.0,0.6683,0.671,0.66587,0.67001
13524,1621318200000.0,0.67001,0.67359,0.6696,0.67301
13525,1621318500000.0,0.67295,0.6747,0.67009,0.6708
13526,1621318800000.0,0.67069,0.67349,0.67016,0.67324
13527,1621319100000.0,0.67331,0.67418,0.67021,0.67042
13528,1621319400000.0,0.6704,0.67147,0.66539,0.66584
13529,1621319700000.0,0.66576,0.66704,0.66466,0.66525
13530,1621320000000.0,0.66525,0.669,0.66517,0.66846
13531,1621320300000.0,0.66838,0.67137,0.66746,0.6698
13532,1621320600000.0,0.66978,0.67011,0.6613,0.66146
13533,1621320900000.0,0.66177,0.66439,0.6612,0.66168
13534,1621321200000.0,0.66146,0.66328,0.66126,0.66264
13535,1621321500000.0,0.66264,0.66428,0.66049,0.66092
13536,1621321800000.0,0.66068,0.66234,0.65851,0.65943
13537,1621322100000.0,0.65944,0.66192,0.65911,0.66192
13538,1621322400000.0,0.66184,0.66313,0.66053,0.66121
13539,1621322700000.0,0.66121,0.66161,0.65857,0.65877
13540,1621323000000.0,0.65868,0.66033,0.65638,0.6588
13541,1621323300000.0,0.65873,0.66081,0.65804,0.6593
13542,1621323600000.0,0.65938,0.65967,0.65662,0.65709
13543,1621323900000.0,0.65709,0.65922,0.655,0.65899
13544,1621324200000.0,0.65899,0.6604,0.65688,0.65754
13545,1621324500000.0,0.65737,0.65997,0.65729,0.65943
13546,1621324800000.0,0.6596,0.66126,0.65833,0.65985
13547,1621325100000.0,0.65977,0.65983,0.65673,0.65887
13548,1621325400000.0,0.65896,0.661,0.6587,0.661
13549,1621325700000.0,0.66097,0.66359,0.66024,0.66355
13550,1621326000000.0,0.66337,0.66337,0.6601,0.66067
13551,1621326300000.0,0.66072,0.66186,0.6572,0.65967
13552,1621326600000.0,0.65984,0.66186,0.65837,0.66167
13553,1621326900000.0,0.66164,0.66167,0.65681,0.65733
13554,1621327200000.0,0.65746,0.67593,0.65621,0.675
13555,1621327500000.0,0.675,0.67672,0.67001,0.67453
13556,1621327800000.0,0.67449,0.682,0.67361,0.67691
13557,1621328100000.0,0.67691,0.68255,0.67667,0.67693
13558,1621328400000.0,0.67702,0.68546,0.67132,0.67218
13559,1621328700000.0,0.67218,0.6747,0.67143,0.672
13560,1621329000000.0,0.67179,0.67428,0.67116,0.67276
13561,1621329300000.0,0.6727,0.67394,0.66807,0.66842
13562,1621329600000.0,0.66827,0.67196,0.66681,0.67085
13563,1621329900000.0,0.67031,0.67283,0.66891,0.67204
13564,1621330200000.0,0.67207,0.67386,0.66886,0.66944
13565,1621330500000.0,0.66959,0.67226,0.66907,0.67226
13566,1621330800000.0,0.67226,0.6741,0.67127,0.67377
13567,1621331100000.0,0.67376,0.67688,0.6718,0.67233
13568,1621331400000.0,0.67245,0.6728,0.66835,0.67206
13569,1621331700000.0,0.67191,0.67401,0.66982,0.67055
13570,1621332000000.0,0.67073,0.67437,0.66982,0.67189
13571,1621332300000.0,0.6719,0.67216,0.66794,0.66875
13572,1621332600000.0,0.6687,0.673,0.66753,0.673
13573,1621332900000.0,0.673,0.68111,0.67206,0.68111
13574,1621333200000.0,0.68069,0.68153,0.67789,0.67853
13575,1621333500000.0,0.67879,0.69,0.67857,0.68778
13576,1621333800000.0,0.68772,0.69649,0.6872,0.69476
13577,1621334100000.0,0.69488,0.69658,0.68902,0.69161
13578,1621334400000.0,0.69171,0.69203,0.68761,0.69
13579,1621334700000.0,0.68978,0.69375,0.68854,0.69348
13580,1621335000000.0,0.69335,0.69563,0.69101,0.69469
13581,1621335300000.0,0.69469,0.69611,0.691,0.6919
13582,1621335600000.0,0.69167,0.69474,0.68918,0.6905
13583,1621335900000.0,0.69052,0.69225,0.68453,0.68569
13584,1621336200000.0,0.68545,0.68833,0.68285,0.68401
13585,1621336500000.0,0.6838,0.68949,0.68306,0.68819
13586,1621336800000.0,0.6883,0.69035,0.68623,0.68934
13587,1621337100000.0,0.68935,0.697,0.68935,0.69592
13588,1621337400000.0,0.69559,0.7,0.69289,0.69771
13589,1621337700000.0,0.69771,0.69893,0.69299,0.69553
13590,1621338000000.0,0.69566,0.69903,0.69465,0.69702
13591,1621338300000.0,0.69676,0.69684,0.69178,0.69225
13592,1621338600000.0,0.69225,0.69722,0.69116,0.69428
13593,1621338900000.0,0.6942,0.69477,0.6902,0.69053
13594,1621339200000.0,0.69053,0.69571,0.68227,0.6832
13595,1621339500000.0,0.68306,0.68348,0.67751,0.67753
13596,1621339800000.0,0.6775,0.68278,0.67596,0.68138
13597,1621340100000.0,0.68167,0.68394,0.67944,0.68345
